Agreement,Freedom,Happiness
0.06,1,2.11508895835497
0.06,2,3.80742919845355
0.06,3,3.92252002858068
0.06,4,4.4092665789372
0.06,5,4.66885991157029
0.06,6,4.95167412072809
0.06,7,6.25198454870301
0.06,8,6.70009903971909
0.06,9,6.62603620734948
0.06,10,7.70049217534057
0.7,1,5.68107963833875
0.7,2,5.44319153789234
0.7,3,5.86137945980235
0.7,4,4.27733357164369
0.7,5,5.73786500959026
0.7,6,5.25735694013048
0.7,7,4.74477866024303
0.7,8,5.19611918958681
0.7,9,3.97734363592447
0.7,10,3.2089391528322
0.06,1,3.1732471022482
0.06,2,3.53202638488493
0.06,3,2.58559241091423
0.06,4,4.98799989436714
0.06,5,4.56362683930471
0.06,6,5.93198098218691
0.06,7,6.01382820976056
0.06,8,6.6745047551343
0.06,9,7.66729050329456
0.06,10,8.25698802082882
0.7,1,5.71436587159112
0.7,2,4.22833294312331
0.7,3,5.20597528226643
0.7,4,5.82759560959625
0.7,5,4.9453535184206
0.7,6,5.32885689387111
0.7,7,4.40569374306647
0.7,8,4.67614355255884
0.7,9,4.66909345778005
0.7,10,4.28515680132192
0.06,1,3.6910978048937
0.06,2,3.38817778004652
0.06,3,4.4683183244733
0.06,4,4.98408053199542
0.06,5,5.54265275659455
0.06,6,6.34545065526533
0.06,7,5.95581980800814
0.06,8,6.82344896501013
0.06,9,7.484208073813
0.06,10,8.00276295288511
0.7,1,6.1047130019709
0.7,2,5.99102036764288
0.7,3,5.17754261900861
0.7,4,5.19268189271245
0.7,5,5.31459880456887
0.7,6,4.84579895787172
0.7,7,4.94886253582742
0.7,8,4.69745401089398
0.7,9,4.40200245231925
0.7,10,3.89278611198654
0.06,1,2.13788439141201
0.06,2,3.12417331790029
0.06,3,4.36124771048479
0.06,4,4.7789384861414
0.06,5,5.1384426903785
0.06,6,5.65924734417099
0.06,7,7.12216186936816
0.06,8,6.10862799122963
0.06,9,7.75076062259015
0.06,10,6.99644576491879
0.7,1,5.62293180335048
0.7,2,6.8876216126995
0.7,3,5.09141451152257
0.7,4,5.89210943087684
0.7,5,5.01028330062088
0.7,6,5.32597634253023
0.7,7,4.34129636759372
0.7,8,3.61732027813626
0.7,9,3.34539835052032
0.7,10,3.18268303626678
0.06,1,3.75950090057979
0.06,2,3.56240228233361
0.06,3,4.0968603019947
0.06,4,4.14043056107398
0.06,5,5.1560736600251
0.06,6,5.88912619153413
0.06,7,5.69385176202527
0.06,8,6.70789033192321
0.06,9,7.74423295686564
0.06,10,8.42738037660782
0.7,1,4.96751328251859
0.7,2,5.29393456342306
0.7,3,5.07213469901117
0.7,4,4.48491795520837
0.7,5,4.87622347264276
0.7,6,5.48972122902098
0.7,7,5.03356317471473
0.7,8,4.8694030812018
0.7,9,4.34725652315727
0.7,10,4.122355160466
0.06,1,3.90624660662864
0.06,2,3.70784207484918
0.06,3,3.97055702875487
0.06,4,4.49446720279821
0.06,5,5.77339104189281
0.06,6,6.50095754110665
0.06,7,6.11884281028644
0.06,8,6.29021994640448
0.06,9,7.66471823417699
0.06,10,7.96069951232871
0.7,1,5.56925147435726
0.7,2,4.88109131838021
0.7,3,5.90088622811048
0.7,4,4.29635442174761
0.7,5,4.679244072725
0.7,6,4.81459274847099
0.7,7,4.18450284915631
0.7,8,4.72417551246233
0.7,9,5.33974912057533
0.7,10,4.06889554130681
0.06,1,2.54724932422222
0.06,2,3.74919362891545
0.06,3,4.96837048862704
0.06,4,5.07880416043163
0.06,5,4.74380024003453
0.06,6,6.70298099728333
0.06,7,5.60787913632121
0.06,8,6.43028368974413
0.06,9,7.90177172039614
0.06,10,7.74815898935626
0.7,1,4.86083481719879
0.7,2,4.92178374528267
0.7,3,5.10496366040843
0.7,4,4.54256084990234
0.7,5,4.85668516805306
0.7,6,3.90044936924642
0.7,7,4.54772167732113
0.7,8,4.66323516571743
0.7,9,4.24303458049381
0.7,10,6.14641972593208
0.06,1,4.26586449478651
0.06,2,3.9736972950721
0.06,3,4.14480412032146
0.06,4,4.53490631963631
0.06,5,5.1478840456192
0.06,6,6.57641887627223
0.06,7,6.06038112092033
0.06,8,7.04173780946907
0.06,9,7.16874549504297
0.06,10,8.05569752913439
0.7,1,6.02362762023873
0.7,2,6.09050707551878
0.7,3,6.11427449298246
0.7,4,4.85318622601587
0.7,5,5.23781530423046
0.7,6,4.56362990806429
0.7,7,5.13242666550175
0.7,8,3.89023951279612
0.7,9,4.02384359041049
0.7,10,4.0914324782863
0.06,1,4.05772986504108
0.06,2,4.70921306574218
0.06,3,5.13537910902141
0.06,4,5.1323628519899
0.06,5,6.15383907461612
0.06,6,6.51278402125389
0.06,7,6.65293011080219
0.06,8,6.56704631552669
0.06,9,8.0592154570118
0.06,10,6.47783631951759
0.7,1,5.69074107471318
0.7,2,5.17924555428066
0.7,3,5.37154350385336
0.7,4,4.45065585215182
0.7,5,4.36114596844177
0.7,6,4.51803763664364
0.7,7,4.95422192332748
0.7,8,4.60328007828156
0.7,9,3.21369039009472
0.7,10,4.88250089877553
0.06,1,3.29552827478752
0.06,2,3.90317301485761
0.06,3,4.48472439594986
0.06,4,4.50618626447652
0.06,5,5.21860224870883
0.06,6,6.15388027568716
0.06,7,6.03763380446935
0.06,8,6.39634713276805
0.06,9,7.09212534994929
0.06,10,8.74666888078366
0.7,1,4.99849524743906
0.7,2,5.02253855755943
0.7,3,5.69828163856213
0.7,4,5.27387293421573
0.7,5,5.80464744821018
0.7,6,4.57860797253663
0.7,7,4.01503850996514
