country_territory,q260,q28p,q29p,q30p,q31p,q32p,q33p,q35p,q46p,q48,q49,Gender
Andorra,2,2,2,2,2,2,2,3,4,10,10,Female
Andorra,1,2,2,2,2,2,2,2,4,9,9,Male
Andorra,1,2,2,2,2,NA,2,4,3,9,9,Male
Andorra,2,2,1,1,1,1,2,2,3,9,8,Female
Andorra,1,2,2,2,2,3,2,2,3,8,7,Male
Andorra,2,4,3,1,1,1,1,1,4,10,10,Female
Andorra,2,4,1,1,3,4,1,1,3,10,5,Female
Andorra,1,2,1,1,1,1,1,5,3,8,8,Male
Andorra,2,2,1,1,1,2,1,2,4,8,8,Female
Andorra,2,4,2,2,2,2,2,1,4,10,10,Female
Andorra,1,4,2,2,3,4,3,2,3,9,8,Male
Andorra,1,3,2,2,2,3,2,2,4,8,8,Male
Andorra,2,4,1,1,1,3,1,2,4,10,10,Female
Andorra,2,2,1,1,1,4,1,3,3,7,7,Female
Andorra,2,4,3,1,1,2,1,5,2,10,10,Female
Andorra,1,4,1,1,1,4,1,1,3,3,1,Male
Andorra,1,1,1,1,1,1,1,3,3,7,8,Male
Andorra,2,1,1,1,1,1,1,1,3,10,8,Female
Andorra,2,2,1,1,1,3,1,1,4,9,8,Female
Andorra,2,3,1,1,1,1,2,5,3,5,9,Female
Andorra,2,4,1,1,1,4,1,1,4,10,10,Female
Andorra,2,1,1,1,1,4,1,1,4,10,10,Female
Andorra,2,3,1,1,1,1,1,1,3,8,9,Female
Andorra,1,2,1,1,1,1,1,2,4,9,9,Male
Andorra,2,1,1,1,1,3,1,4,3,10,7,Female
Andorra,1,1,1,1,1,1,1,4,4,9,10,Male
Andorra,2,3,1,1,1,1,1,1,3,8,9,Female
Andorra,2,3,1,1,1,1,1,5,3,7,7,Female
Andorra,2,4,1,1,1,1,1,1,2,6,9,Female
Andorra,1,4,1,1,1,2,2,2,3,6,6,Male
Andorra,2,3,2,2,2,2,3,2,3,9,9,Female
Andorra,1,3,2,2,2,3,2,2,3,7,7,Male
Andorra,1,3,2,2,2,2,2,2,3,7,6,Male
Andorra,2,3,2,2,2,3,2,2,3,10,10,Female
Andorra,1,3,2,2,2,3,2,2,3,8,7,Male
Andorra,1,2,2,2,2,4,1,1,3,1,9,Male
Andorra,1,1,1,1,1,4,1,1,4,9,9,Male
Andorra,2,1,1,1,1,1,1,1,3,6,8,Female
Andorra,1,1,1,1,2,2,1,1,3,4,6,Male
Andorra,2,2,2,1,1,2,1,4,3,5,7,Female
Andorra,2,3,1,1,1,3,1,3,3,3,5,Female
Andorra,2,1,1,1,1,2,1,2,2,8,7,Female
Andorra,1,1,1,1,1,3,2,1,3,4,7,Male
Andorra,1,2,2,2,2,2,1,4,3,4,5,Male
Andorra,1,2,2,1,1,3,1,3,3,8,7,Male
Andorra,2,1,1,1,1,2,1,1,2,4,6,Female
Andorra,2,1,1,1,1,2,1,2,2,7,4,Female
Andorra,2,1,1,1,1,2,1,1,3,8,8,Female
Andorra,2,4,1,1,1,4,1,3,3,5,3,Female
Andorra,2,4,1,1,1,4,1,1,3,5,5,Female
Andorra,2,1,1,2,2,2,1,2,3,8,7,Female
Andorra,2,3,1,1,1,1,1,3,1,6,5,Female
Andorra,2,1,1,1,1,3,1,2,4,7,7,Female
Andorra,1,2,1,1,1,2,1,2,3,8,7,Male
Andorra,1,2,2,1,2,3,1,1,3,8,7,Male
Andorra,2,1,3,1,3,3,1,1,3,7,7,Female
Andorra,2,3,2,1,1,1,3,2,3,9,6,Female
Andorra,2,2,2,2,2,2,1,2,3,5,8,Female
Andorra,2,2,1,1,1,3,1,4,3,8,8,Female
Andorra,1,3,2,1,2,2,2,2,3,8,8,Male
Andorra,2,3,1,1,1,4,2,3,3,1,8,Female
Andorra,1,2,2,2,2,2,2,2,3,8,8,Male
Andorra,1,2,1,1,1,4,1,3,2,4,5,Male
Andorra,1,3,2,1,1,4,2,1,4,8,8,Male
Andorra,1,2,2,1,1,3,2,2,3,10,9,Male
Andorra,2,1,1,1,2,4,1,1,3,8,7,Female
Andorra,2,4,1,1,1,1,2,4,3,9,6,Female
Andorra,2,1,1,1,1,3,1,1,4,10,9,Female
Andorra,1,2,1,1,1,1,1,1,3,6,7,Male
Andorra,2,2,2,1,1,3,2,2,3,7,7,Female
Andorra,1,1,1,1,1,4,1,2,3,9,9,Male
Andorra,2,4,1,1,1,4,1,1,3,3,7,Female
Andorra,2,3,1,1,1,3,1,1,4,9,10,Female
Andorra,2,3,1,1,1,1,1,2,3,2,5,Female
Andorra,2,1,1,1,1,4,1,3,3,5,5,Female
Andorra,2,4,3,4,2,2,1,1,3,2,9,Female
Andorra,2,2,1,1,1,3,1,1,3,8,7,Female
Andorra,1,1,1,1,1,1,1,1,4,10,8,Male
Andorra,2,4,4,3,2,2,3,5,2,1,7,Female
Andorra,2,2,4,1,1,4,1,5,3,3,6,Female
Andorra,2,3,1,1,1,4,1,5,2,3,8,Female
Andorra,2,2,2,2,2,2,2,2,3,3,8,Female
Andorra,1,2,1,1,1,1,1,5,3,6,8,Male
Andorra,2,4,4,1,4,1,5,5,3,1,6,Female
Andorra,2,3,1,1,1,4,1,1,3,4,7,Female
Andorra,2,2,1,1,1,1,1,1,3,10,8,Female
Andorra,2,2,1,1,1,4,1,1,4,9,10,Female
Andorra,2,3,1,1,1,2,1,1,4,1,10,Female
Andorra,1,3,1,1,1,2,1,2,3,5,8,Male
Andorra,2,3,1,1,1,4,1,4,3,10,10,Female
Andorra,2,4,4,1,4,NA,1,5,4,9,10,Female
Andorra,2,4,4,1,1,4,5,1,3,10,10,Female
Andorra,2,3,1,1,1,3,1,1,3,1,6,Female
Andorra,2,3,1,1,1,4,5,5,4,8,6,Female
